83 830  0.5 13.6
81 753  0.5 13.0
79 705  0.5 12.6
77 619  0.5 12.0
75 549  0.5 11.4
73 483  0.5 10.9
71 434  0.5 10.5
69 379  0.5 10.0
67 344  0.5 9.8
65 305  0.5 9.4
63 272  0.5 9.2
61 237  0.5 8.9
59 207  0.5 8.7
57 188  0.5 8.5
55 172  0.5 8.4
53 159  0.5 8.3
51 144  0.5 8.2
49 129  0.5 8.0
47 119  0.5 8.0
45 110  0.5 7.9
43 103  0.5 7.8
41 96   0.5 7.8
39 92   0.5 7.7
37 88   0.5 7.7
35 86   0.5 7.7
33 82   0.5 7.7
31 77   0.5 7.6
29 73   0.5 7.6
27 69   0.5 7.6
25 65   0.5 7.5
23 64   0.5 7.5
21 63   0.5 7.5
19 63   0.5 7.5
17 61   0.5 7.5
15 59   0.5 7.5
13 58   0.5 7.5
11 58   0.5 7.5
09 58   0.5 7.5
